name,location,zx_type,price,url,info
张伟,"广州, 广东, 中国",面对面咨询、视频咨询,600 元/次,http://jiandanxinli.com/experts/10256,"中山大学心理学硕士，咨询心理学方向(2017-2020),美国纽约Fordham University进修(2016),The American Institute For Psychoanalysis China program admission officer(2015-present),The American Institute For Psychoanalysis China training program candidate(2017-2019）,中美高级精神分析治疗师连续培训项目（中美班）第一期成员、第二期成员和翻译（2012-2017,已完成）,长期接受国际精神分析协会(IPA)成员、美国督导与培训精神分析师个人分析和案例督导（2012-至今）,广东省心理学会精神分析专业委员会委员,2006年开始执业，临床经验丰富"
艾陵,"台湾",面对面咨询、视频咨询,500 元/次,http://jiandanxinli.com/experts/121590,"拥有24年心理谘询经验,熟悉精神疾病之评估与谘询、人格发展之经营与健全、压力调适与情绪管理、潜能开发与自我实现,完整专业训练背景、接案时数在 20,000 小时以上,实务与理论并重之博士级心理谘询师 ,视频谘询仅提供青少年至成人申请,面询需特别预约（仅限每年1-2月及7-9月）,欢迎洽询团体督导与工作坊,实务经历：,医学中心精神科临床心理师暨督导,社区心理卫生中心心理督导,学校咨商中心咨商心理师督导,民间戒瘾机构治疗师兼督导,国家考试出题委员,精神疾病审查会储备审查委员,担任各相关机构训练讲师,学术期刊审查委员,著作：,目前(至2017年)计发表期刊论文16篇、学术研讨会论文40篇、专书或译作8本、技术报告12篇。"
陈川,"广州, 广东, 中国",面对面咨询、视频咨询,500 元/次,http://jiandanxinli.com/experts/70247,"华南师范大学心理学硕士高级研修班,中美精神分析连续培训项目成员,广东省心理学会会员、精神分析专业委员会会员,美国精神分析研究院受训学员（The American Institute For Psychoanalysis，AIP）, 从业时间：10年,个人分析500+小时,长期接受美国精神分析师/美国督导师的案例督导,长期接受美国精神分析师的高频个人分析（ 持续中，分析师为IPA培训与督导精神分析师 training supervising analyst）    ,目前正在接受：,美国精神分析研究院 --心理动力学心理治疗师培训项目,The American Institute For Psychoanalysis --- Psychodynamic Psychotherapy Program"
王文遐,北京,面对面咨询,550 元/次,http://jiandanxinli.com/experts/70100,"中国心理学会注册心理师（注册号：X-17-061）,国家二级心理咨询师（证书编号：0601000008200836）,中科院心理所研究生班医学心理学与心理咨询方向毕业,中美精神分析联盟(CAPA)初级组在读(第二年)；,先后完成精神分析理论与实践连续课程，包括经典精神分析、客体关系学派、科胡特学派自体心理学；荣格派分析心理学沙盘游戏；儿童青少年心理动力学；依恋理论等培训。,2008年起，持续接受心理动力学取向临床个案督导及团体督导，目前每工作周个体督导和团体督导时间共计3个半小时，督导师均为中国心理学会注册督导师，以及中美精神分析联盟督导师，Pro.Elizabeth S. Cramer, L.C.S.W，等。,2010年起，持续接受国际IPSO会员、IPA会员候选人、中国心理学会注册督导师长程动力学设置个人体验，至2016年底已超过250次。目前仍在持续中。,2008年起专职从事临床心理咨询实务，临床取向为心理动力学取向心理咨询。,至2016年底，个案积累时数超过2500小时。咨询对象包括成年人、青少年和儿童。,曾任北京人民广播电台心理节目嘉宾；,央广卫视健康类节目心理学嘉宾；,留守儿童公益组织心理专家组成员；,国家级杂志心理栏目撰稿人。,临床咨询风格细致亲和、清晰稳定。,擅长的方向包括：,1、关系中出现的困难和障碍，包括社会关系、家庭间的关系、亲子关系和亲密关系中的困难；,2、成长过程中的创伤，特别是早期经历中的创伤，带来对目前现实的影响和痛苦；,3、挫折性的突发性的生活事件及情景带来的影响和痛苦；,4、情绪问题,咨询设置：,目前的方式为一对一面询，每节咨询的时间为50分钟。短程咨询持续30节以内，中程咨询持续50-100节，长程咨询持续100节以上。,开始的2-4次通常为初始访谈，在初始访谈中，我会聆听您的求助原因，提出结构性的问题促进我对您和您的困难的了解，帮助您了解咨询设置、方式和您的权责等，以及回答您与咨询相关的询问；您可以倾诉您前来咨询的原因、困难，了解咨询的设置、方式，提出您关心的与咨询相关的问题，以及感受这样的方式是否适合您，我是否是您愿意一起前行这段心灵之旅的那个人。咨询过程的频率依据具体的问题、您作为来访者的需要和咨询不同阶段的需要，经过讨论，可能设置为每周1-2节，某些咨询或者咨询的某些阶段也可能为每周3-5节。咨询结束时，我们通常会有2-4节结束访谈，在结束访谈中，我们会充分讨论即将到来的结束与分离，为您下一段的独立前行做最好的准备。,当然，即使是一阶段的咨询正式结束，您依然可以选择间隔一段时间与我约访，交流咨询结束后的生活状态；以及在以后的人生中觉得有需要时，再次启动新的阶段的咨询。"
杜满鹏,"昆明, 云南, 中国",面对面咨询、视频咨询,500 元/次,http://jiandanxinli.com/experts/78324," 国家职业认证二级心理咨询师（证书编号：0724000008200125）, 心理咨询从业时间：11年  咨询累计时间：4000+小时, 德国MEG认证催眠治疗师   中德催眠连续培训项目成员, 中国心理卫生协会催眠学组秘书   , 云南师范大学心理咨询师培训中心培训讲师,  从事心理咨询工作11年，2007年开始至今完成了精神分析、家庭治疗、行为治疗、催眠治疗的系统培训，常年接受个人体验、督导和同辈督导。,   寻找你的资源，把注意力放在未来你可以做点什么，而不是过去发生了什么！即使回到过去我们也是去寻找资源，寻找所谓“症状”的例外时刻，看看那时候是什么因素，让你的症状没有出现。制定一个小点的目标一点点达成比确立一个精致的大目标要轻松得多，重要的是没有停下，积累每一个小目标你会有大发现，慢慢来就快了；每一个症状都有它的功能和意义，在没有了解它之前先不要嫌弃它，在未来的某个时刻它说不定会帮到你，只是眼下它给你添麻烦了；我们总是要去做点什么，尽管病着，每个人的背后都拖着长长的人生线，“带病坚持生活”也许是一种积极的生活态度。活着就已经足以证明你很优秀，只是你不确定或还不知道，找到你的优势把它放大。,     心理优势与问题，就像红酒、咖啡、普洱茶，每个人有自己的偏好和评定标准，当然它们也有公认的鉴定标准，以便于玩友之间的交流和品评。但真的了解这些东西时你会发现：没有一瓶一模一样的红酒；不同的手法冲泡同一款咖啡味道并不一样；普洱茶也不都是越陈越香。所谓心理问题和优势，只是在不同的环境中呈现了不同的样子，可以说没有心理问题，那只是还不知道如何使用的心理优势罢了！不要驱逐心理问题，也许换个时间和地点，它会给你不一样的惊喜和呈现。"
单雨佳,浙江省杭州市西湖区,面对面咨询、视频咨询,700 元/次,http://jiandanxinli.com/experts/823,"国家二级心理咨询师（证书编号1011000008200514）,美国费城精神分析中心精神分析师候选人（The Psychoanalytic Center of Philadelphia, PCOP),中美精神分析联盟（CAPA）初级组毕业,中美精神分析联盟(CAPA)高级组毕业,中美精神分析联盟(CAPA)督导组毕业（杭州首位完成以上三项培训的受训者）,浙江心理卫生协会心理咨询与治疗专业委员会精神分析学组成员,中德班精神分析训练（第五期)结业(德中心理研究院和上海精神卫生中心举办),国家二三级心理咨询师考试培训讲师,上海二级心理咨询师咨询实践带教老师，精神分析课程讲师,APPC婚姻家庭咨询师、少儿咨询师面询考评员,专职从事心理咨询工作7年,个案经验超过3100小节,团体经验超过200小时,每年接受督导时间超过250小时（同侪督导、个别督导、团体督导、小组督导）,每年受训超过500小时,自我体验超过300小节,【专业培训和心理学普及工作】,曾为以下媒体供稿或接受采访：超星学术网、杭州日报、时尚育儿、杭州电视台等 曾为以下单位提供心理学讲座： 浙江省女子监狱、杭州乔司监狱、浙江省第六监狱、浙江省武警总队 杭州第十三中学、浙江工业大学、杭州学军小学、 杭州淘宝大学、浙江泰普森集团、浙江绿盛集团、杭州西子奥的斯集团、无锡海士力集团等"
赵文滔,"台北市, 台湾",视频咨询,1200 元/次,http://jiandanxinli.com/experts/297958,"  无论遭遇何种人生低潮与困境，都可能在关系的脉络中找到新的理解与因应之道。欢迎困在关系中喘不过气来的朋友，给自己一个机会，来尝试咨询。,當重要關係不再困擾我們，便可以騰出許多精力來充分享受人生，創造豐富的生命。"
张荣,"南宁, 广西, 中国",面对面咨询、视频咨询,500 元/次,http://jiandanxinli.com/experts/4383,"  精神分析取向的心理咨询师，富有敏锐的感知力和慈悲心，将对生命的热爱和生活的理解融入到助人自助的工作中。,长期接受个人分析和执业培训，坚持在严格的个案督导下工作。内观禅修修习者，践行着更多的自我探索通道。,执业心理咨询前有20多年媒体工作经验，着力于深度人物采访报道，有着独特的职业视角和素养，积累和感受了多样性的丰富人生；后期专注于电台/报刊心理类专栏的主持和写作。个人作品《中等生妈妈高考打怪记》以真实体验式的写作方式，以儿子经历高考前的陪伴为载体，将心理学在亲子关系、情绪管理、家庭系统等方面的应用生动讲述，分享作为女性的心灵成长故事。策划编辑系列0~3岁系列母婴互动游戏书籍《宝贝上场》。,从业8年，2000小时以上个案工作经验。目前个人执业，工作重点是心理咨询，小组学习与体验。,命运赐予我从出生伊始就非同一般的人生成长之路，历经时间的磨砺和冲刷，到今天能以宁静之心悦纳，或许就是为了——让我在遇到你的时候，能够更深切地感受你所感受的，理解你所经历的；或许就是为了——让你在选择我之后，能够在我专注的聆听中倾诉，在我真诚地陪伴中探索前行。"
帅莉,北京,面对面咨询、视频咨询,1200 元/次,http://jiandanxinli.com/experts/36,"国家认证心理咨询师（二级） ,中国心理学会临床与咨询心理学专业注册系统 注册助理心理师 ,美国欧文·亚隆心理治疗学院认证团体督导师、认证团体治疗师 ,中美精神分析联盟（CAPA）会员 ,北京师范大学发展心理与心理健康专业 研究生 ,专业工作经历： ,从事个体咨询和团体咨询11年，个体心理咨询累计6000小时以上，给团体治疗师督导300小时以上。,长期带领团体咨询小组，固定每周六上午，每周二晚上进行。,本人具有企业、培训、教育等多种行业经验，具有丰富的职场经验和生活阅历。曾服务于北京航空航天大学、中国农业大学等高校。 ,在团体心理咨询、心理健康培训方面具有丰富的实践经验，曾经为EAP（企业员工帮助计划）公司的签约心理顾问。曾经多次为中国国际航空公司、合众人寿保险公司、国家专利局、招商银行、英特尔公司、壳牌公司、IBM公司、摩根斯坦利公司、瑞士银行、宝洁公司、耐克公司、秀域美容公司、博维公司、中国空间研究所等中外大型企业进行团体心理辅导及心理讲座，相关主题有个人成长、团队建设、压力管理、沟通技巧、人际交往、亲子教育、婚姻情感、职业规划、危机干预、企业裁员等。 ,专业受训经历： ,精神分析理论与实践、萨提亚家庭治疗、创伤(EMDR)治疗、团体心理咨询等专业训练，接受个人体验400小时，接受督导200小时以上。 "
柴欣,"深圳, 广东, 中国",面对面咨询、视频咨询,600 元/次,http://jiandanxinli.com/experts/24806,毕业于北京林业大学心理学专业，接受过系统的心理咨询理论与技术培训。2007年开始从事心理咨询工作，先后为知名EAP企业、社会心理机构及简单心理平台提供超过3200小时心理咨询服务，临床经验较为丰富。重视咨询师的个人成长和再学习，长期稳定接受个人体验和个案督导。为咨询师同行提供督导，累计为国家二级心理咨询师提供超过150小时团体督导和140小时个体督导，积累了较为丰富的督导经验。
谭钧文,浙江·丽水,面对面咨询、视频咨询,400 元/次,http://jiandanxinli.com/experts/6238,"  心理学博士，毕业于德国乌尔姆大学医学部心身医学与心理治疗学院医学心理学系,国家二级心理咨询师（证书编号：0717000008200344）,浙江省丽水市心理卫生协会常务理事,从2006年开始心理咨询的学习和实践，累计（截止2017年2月）个案经验逾1700小时，团体辅导逾200小时，参加案例督导逾300小时，接受专业训练与学习逾1200小时，接受个人分析近300次。"
唐芹,深圳,面对面咨询、视频咨询,500 元/次,http://jiandanxinli.com/experts/12825,"愿意通过人性的陪伴，找寻生命的价值与意义，获得内心的平静与自由。,北京师范大学心理学硕士（心理咨询方向）,中国心理学会临床心理学注册工作委员会 注册心理师（证书编号 X-17-56）,国家二级心理咨询师,受训于中美精神分析联盟（CAPA）,李维榕家庭治疗连续培训项目学员,高校心理咨询中心专职咨询师，从事心理咨询工作9年。曾任多所国家高等学府及专业心理咨询机构心理咨询师。,【受训背景】,2011-2014：北京师范大学心理学院   家庭治疗系统课程培训,2012-2013：北京师范大学心理学院   夫妻治疗、团体治疗、箱庭疗法,2014-2016：中美精神分析联盟（CAPA）两年连续培训 初级组毕业,2014-2016：李维榕 婚姻家庭治疗两年连续培训,2016-2018：中美精神分析联盟（CAPA） 高级组两年培训在读,2012：首届中美家庭与婚姻治疗会前工作坊,2015：Nancy Mcwilliams 人格组织与动力性心理治疗理论与实务工作坊,【我与心理咨询的缘分】,      从本科到硕士，我学习了7年的心理学。从开始学心理咨询、接触个案，经历了第九个年头，在这期间我经历和陪伴了不同的来访者们，有无法拥有良好人际关系的人，有渴望亲密关系但是总是在关系里受挫的人，也有对生活未来感到迷茫不知道自己生命价值和意义的人；也有不上学的小孩，有焦心却无力管教的父母，有相爱却彼此怨恨着的夫妻，也包括在监狱的服刑人员。每个人都有着自己的过去，自己的伤痛与无奈，交杂着许多的无助甚至绝望。,      不少人都说咨询师是一个高风险的职业，面对了那么多的负能量。我完全同意这样的观点，这份职业很不容易，但我却很爱，因为我相信并一直看到每个人身上内在的力量，这种力量也许被很多东西阻挡住了，无法发挥出来，然后它依旧在你身上。,      心理咨询让我最为感动的，就是总是不断的有机会让来访者看到自己内在强大的力量。来做咨询，选择一个人开始走近你，这本就是需要很大的勇气。很多人觉得咨询就是聊聊天，但事实上如果你真的开始咨询，你会发现这是人生的另一场旅行，它需要毅力，耐心，最重要的是勇气。每个人都怀揣着不同的困惑来，但最终他们能感受到自己存在的价值，存在的力量，改变所能改变的，接纳我们无法改变的局限。,      每一场旅行都不是一帆风顺的，但是它就如春雨，润物细无声。,      迷茫、焦虑和无助的人，开始有机会在安全的，安静的，温暖的时空下，重新找回自己内心的自由，存在的价值，感受人与人的亲密，享受欢乐和获得成长；,      小孩会找到自我努力的价值，开始认真的学习，尽情的玩耍；,      父母学会了更好的沟通方式，能够站在一条战线上管理调皮的孩子；,      夫妻不再用指责、讨好、无视、过分理智的方式对待彼此，学会表达自己的需要，满足自己和对方的需要。,      这一条路，我愿陪伴你走过。"
王体霞,"北京, 中国",面对面咨询、视频咨询,300 元/次,http://jiandanxinli.com/experts/114999,"  国家认证心理咨询师（证书编号：1501000008300141）,精神分析系统培训,美式催眠治疗,释梦技术,中国心理学会标委会骨干咨询师培养项目1879计划成员,欧文•亚隆团体心理咨询与治疗师认证系统培训,英国Tavistock王虓精神动力性心理治疗督导课程核心组成员,长期稳定接受个人体验、团体成长、个案督导、团体督导；,曾经从事十余年家庭教育培训、企业员工个人成长培训工作，,陪伴并见证了每一位学员成长、成熟。,2012年开始系统学习心理咨询技术，全职从事心理咨询工作。,对心理学有着无限的热爱，如果把培训工作比做是外力干预，,心理咨询则是深层修通，相信通过心理咨询专业工作，,能让每个生命重获自我成长的力量，完成最终的蜕变。"
